Organism_Name,Group name,Domain/Realm name,Kingdom name,Phylum name,Class name,Order name,Family name,Genus name,Species taxid,acc,query,tar_tco,full_e_tco,full_score_tco,full_bias_tco,dom_e_tco,dom_score_tco,dom_bias_tco,tar_RAPTOR,full_e_RAPTOR,full_score_RAPTOR,full_bias_RAPTOR,dom_e_RAPTOR,dom_score_RAPTOR,dom_bias_RAPTOR,ProteinPresence
Monilinia laxa,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,61186,GCA_009299455.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAB8298669.1,0,1507.4,0.1,0,1506.7,0.1,RAPTOR Only
Tilletia controversa,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,13291,GCA_009428265.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8206135.1,0,1217.4,0,0,1210.5,0,RAPTOR Only
Tilletia laevis,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,157183,GCA_009428275.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8192572.1,0,1213.7,0,0,1209.8,0,RAPTOR Only
Tilletia laevis,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,157183,GCA_009428285.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8202285.1,0,1213.7,0,0,1209.8,0,RAPTOR Only
Tilletia walkeri,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,117179,GCA_009428295.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8210336.1,0,1229.8,0,0,1229.3,0,RAPTOR Only
Tilletia indica,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,43049,GCA_009428345.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8223958.1,0,1226.6,0,0,1226.1,0,RAPTOR Only
Tilletia indica,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,43049,GCA_009428365.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8233267.1,0,1229.4,0,0,1229,0,RAPTOR Only
Talaromyces marneffei,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,37727,GCA_009556855.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,QGA15568.1,0,1514.9,0.2,0,1514.6,0.2,RAPTOR Only
Mollisiaceae sp. DMI_Dod_QoI,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,NA,2728926,GCA_009613015.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8449010.1,0,1498.5,0.2,0,1498,0.2,RAPTOR Only
Talaromyces marneffei,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,37727,GCA_009650675.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8549643.1,0,1519.2,0.3,0,1518.9,0.3,RAPTOR Only
Cryptococcus gattii VGV,basidiomycete fungi,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,2268382,GCA_009650685.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8538689.1,0,1330.8,0,0,1329.8,0,RAPTOR Only
Fusarium fujikuroi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,5127,GCA_009663055.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,QGI66122.1,0,1498.7,0.3,0,1498.3,0.3,RAPTOR Only
Fusarium fujikuroi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,5127,GCA_009663095.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,QGI97005.1,0,1498.7,0.3,0,1498.3,0.3,RAPTOR Only
Fusarium fujikuroi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,5127,GCA_009663115.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,QGI83364.1,0,1498.1,0.3,0,1497.6,0.3,RAPTOR Only
Pyrenophora teres f. teres,NA,NA,NA,NA,NA,NA,NA,NA,97479,GCA_009728635.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE8831591.1,0,1502.4,0,0,1501.9,0,RAPTOR Only
Stipitochalara longipes BDJ,NA,NA,NA,NA,NA,NA,NA,NA,1379296,GCA_009732865.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9372592.1,0,1455.5,1.1,0,1455.5,1.1,RAPTOR Only
Gymnopus androsaceus JB14,NA,NA,NA,NA,NA,NA,NA,NA,1447944,GCA_009733575.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9410212.1,0,1068.6,0,0,1063.3,0,RAPTOR Only
Venturia inaequalis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,5025,GCA_009769405.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9983891.1,0,1480.1,0.4,0,1479.6,0.4,RAPTOR Only
Venturia inaequalis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,5025,GCA_009769425.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9972102.1,0,1480.1,0.4,0,1479.6,0.4,RAPTOR Only
Venturia inaequalis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,5025,GCA_009769445.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9970268.1,0,1481.5,0.7,0,1481.1,0.7,RAPTOR Only
Colletotrichum fructicola,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,690256,GCA_009771025.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAE9568148.1,0,1491.1,0,0,1490.4,0,RAPTOR Only
Talaromyces pinophilus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,128442,GCA_009805475.2,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAI7977374.1,0,1102.1,4.4,0,1101.9,4.4,RAPTOR Only
Colletotrichum asianum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,702518,GCA_009806415.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF0318949.1,0,1491,0,0,1490.2,0,RAPTOR Only
Gigaspora margarita,glomeromycetes,Eukaryota,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,4874,GCA_009809945.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF0421509.1,0,1433,10,0,1427.1,10,RAPTOR Only
Aspergillus terreus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,33178,GCA_009932835.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF16395.1,0,1497.9,0.1,0,1493.6,0.1,RAPTOR Only
Malassezia furfur,smut fungi & allies,Eukaryota,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,55194,GCA_009938135.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,WFD47339.1,0,1321.3,0,0,1320.9,0,RAPTOR Only
Delphinella strobiligena,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Delphinella,147560,GCA_009982845.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1344647.1,0,1446.5,0,0,1446,0,RAPTOR Only
Lizonia empirigonia,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,NA,Pseudoperisporiaceae,Lizonia,1496277,GCA_009982855.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1365743.1,0,1504.5,0.4,0,1503.9,0.4,RAPTOR Only
Dissoconium aciculare CBS 342.82,NA,NA,NA,NA,NA,NA,NA,NA,1314786,GCA_010015565.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1819147.1,0,1380.9,0,0,1380.4,0,RAPTOR Only
Bimuria novae-zelandiae CBS 107.79,NA,NA,NA,NA,NA,NA,NA,NA,1447943,GCA_010015655.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1964678.1,0,1485.3,0.1,0,1484.9,0.1,RAPTOR Only
Byssothecium circinans,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Byssothecium,147558,GCA_010015675.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1952606.1,0,1475.3,0,0,1475.3,0,RAPTOR Only
Aulographum hederae CBS 113979,NA,NA,NA,NA,NA,NA,NA,NA,1176131,GCA_010015705.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1983882.1,0,1473,1.4,0,1472.6,1.4,RAPTOR Only
Amniculicola lignicola CBS 123094,NA,NA,NA,NA,NA,NA,NA,NA,1392246,GCA_010015725.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2007518.1,0,1503.5,0.5,0,1503.1,0.5,RAPTOR Only
Aaosphaeria arxii CBS 175.79,NA,NA,NA,NA,NA,NA,NA,NA,1450172,GCA_010015735.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2021913.1,0,1506.7,0.1,0,1506.2,0.1,RAPTOR Only
Rhizodiscina lignyota,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Aulographales,Rhizodiscinaceae,Rhizodiscina,1504668,GCA_010015805.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2105108.1,0,1489.2,0,0,1488.8,0,RAPTOR Only
Dothidotthia symphoricarpi CBS 119687,NA,NA,NA,NA,NA,NA,NA,NA,1392245,GCA_010015815.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2131964.1,0,1511.1,1.3,0,1510.6,1.3,RAPTOR Only
Karstenula rhodostoma CBS 690.94,NA,NA,NA,NA,NA,NA,NA,NA,1392251,GCA_010093485.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2438722.1,0,1501.4,0.7,0,1500.9,0.7,RAPTOR Only
Neohortaea acidophila,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Neohortaea,245834,GCA_010093505.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2485970.1,0,1398.4,0,0,1398,0,RAPTOR Only
Lineolata rhizophorae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Lineolatales,Lineolataceae,Lineolata,578093,GCA_010093515.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2452426.1,0,1489.1,0,0,1488.8,0,RAPTOR Only
Lindgomyces ingoldianus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Lindgomyces,673940,GCA_010093535.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2476312.1,0,1505.4,0,0,1505,0,RAPTOR Only
Melanomma pulvis-pyrius CBS 109.77,NA,NA,NA,NA,NA,NA,NA,NA,1314802,GCA_010093585.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2791141.1,0,1511.9,0,0,1511.5,0,RAPTOR Only
Macroventuria anomochaeta,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Macroventuria,301207,GCA_010093625.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2625932.1,0,1489.3,0.4,0,1488.9,0.4,RAPTOR Only
Massarina eburnea CBS 473.64,NA,NA,NA,NA,NA,NA,NA,NA,1395130,GCA_010093635.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2643093.1,0,1483.9,0.1,0,1483.4,0.1,RAPTOR Only
Ophiobolus disseminans,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiobolus,1469910,GCA_010093685.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2820019.1,0,1508.7,0.4,0,1508.3,0.4,RAPTOR Only
Plenodomus tracheiphilus IPT5,NA,NA,NA,NA,NA,NA,NA,NA,1408161,GCA_010093695.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2856555.1,0,1514.7,0.5,0,1514.2,0.5,RAPTOR Only
Patellaria atrata CBS 101060,NA,NA,NA,NA,NA,NA,NA,NA,1346257,GCA_010093705.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2839080.1,0,1470.3,2.7,0,1469.9,2.7,RAPTOR Only
Pleomassaria siparia CBS 279.74,NA,NA,NA,NA,NA,NA,NA,NA,1314801,GCA_010093715.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2703927.1,0,1494.6,0.1,0,1494.1,0.1,RAPTOR Only
Piedraia hortae CBS 480.64,NA,NA,NA,NA,NA,NA,NA,NA,1314780,GCA_010093745.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2861426.1,0,1346,0,0,1345.7,0,RAPTOR Only
Polychaeton citri CBS 116435,NA,NA,NA,NA,NA,NA,NA,NA,1314669,GCA_010093785.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2724734.1,0,1368.8,0,0,1368.4,0,RAPTOR Only
Sporormia fimetaria CBS 119925,NA,NA,NA,NA,NA,NA,NA,NA,1340428,GCA_010093795.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2752340.1,0,1444.1,0.1,0,1443.9,0.1,RAPTOR Only
Pseudovirgaria hyperparasitica,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermaceae,Pseudovirgaria,470096,GCA_010093815.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2757428.1,0,1491.2,0.7,0,1490.8,0.7,RAPTOR Only
Teratosphaeria nubilosa,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,161662,GCA_010093825.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2763872.1,0,1378.2,0,0,1377.7,0,RAPTOR Only
Myriangium duriaei CBS 260.36,NA,NA,NA,NA,NA,NA,NA,NA,1168546,GCA_010093895.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2150477.1,0,1383.4,0,0,1383,0,RAPTOR Only
Zopfia rhizophila CBS 207.26,NA,NA,NA,NA,NA,NA,NA,NA,1314779,GCA_010093925.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2192503.1,0,1516.1,0.1,0,1515.6,0.1,RAPTOR Only
Zasmidium cellare ATCC 36951,NA,NA,NA,NA,NA,NA,NA,NA,1080233,GCA_010093935.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2163018.1,0,1377.7,0,0,1377.2,0,RAPTOR Only
Delitschia confertaspora ATCC 74209,NA,NA,NA,NA,NA,NA,NA,NA,1513339,GCA_010093945.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2203138.1,0,1510.1,0,0,1509.7,0,RAPTOR Only
Cercospora zeae-maydis SCOH1-5,NA,NA,NA,NA,NA,NA,NA,NA,717836,GCA_010093985.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2207340.1,0,1334.6,0,0,1334.3,0,RAPTOR Only
Elsinoe ampelina,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,302913,GCA_010093995.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2220211.1,0,1392.1,0,0,1391.7,0,RAPTOR Only
Viridothelium virens,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,Viridothelium,1048519,GCA_010094025.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2230305.1,0,1486.2,1.3,0,1485.8,1.3,RAPTOR Only
Trematosphaeria pertusa,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,390896,GCA_010094035.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2241718.1,0,1497.1,0.4,0,1496.7,0.4,RAPTOR Only
Westerdykella ornata,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,318751,GCA_010094085.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2273663.1,0,1504.3,0.3,0,1504.3,0.3,RAPTOR Only
Ampelomyces quisqualis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ampelomyces,50730,GCA_010094095.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1913549.1,0,1501.7,1.7,0,1501.3,1.7,RAPTOR Only
Didymella exigua CBS 183.55,NA,NA,NA,NA,NA,NA,NA,NA,1150837,GCA_010094145.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1934317.1,0,1505.8,0.1,0,1505.3,0.1,RAPTOR Only
Beauveria bassiana,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,176275,GCA_010099065.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF1735685.1,0,1506.3,1.3,0,1506,1.3,RAPTOR Only
Trichodelitschia bisporula,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Phaeotrichales,Phaeotrichaceae,Trichodelitschia,703511,GCA_010356995.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2397315.1,0,1465.6,0,0,1465.2,0,RAPTOR Only
Lophiostoma macrostomum CBS 122681,NA,NA,NA,NA,NA,NA,NA,NA,1314788,GCA_010405375.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2654108.1,0,1504,0.1,0,1503.5,0.1,RAPTOR Only
Microthyrium microscopicum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,Microthyrium,703497,GCA_010405405.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2675570.1,0,1440.5,3.6,0,1440.1,3.6,RAPTOR Only
Lentithecium fluviatile CBS 122367,NA,NA,NA,NA,NA,NA,NA,NA,1168545,GCA_010405425.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2679480.1,0,1489.2,1.4,0,1488.7,1.4,RAPTOR Only
Tothia fuscella,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Venturiales,Cylindrosympodiaceae,Tothia,1048955,GCA_010583015.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2433019.1,0,1443.5,0,0,1443,0,RAPTOR Only
Aspergillus udagawae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,91492,GCA_010723835.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF45552.1,0,1536.4,0.9,0,1536.1,0.9,RAPTOR Only
Aspergillus lentulus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,293939,GCA_010723975.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF77655.1,0,1539.4,0.9,0,1539.1,0.9,RAPTOR Only
Aspergillus udagawae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,91492,GCA_010724135.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFG13665.1,0,1536.5,0.9,0,1536.2,0.9,RAPTOR Only
Aspergillus udagawae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,91492,GCA_010724255.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF49608.1,0,1536.5,0.9,0,1536.2,0.9,RAPTOR Only
Aspergillus udagawae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,91492,GCA_010724335.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF88767.1,0,1536.6,0.9,0,1536.2,0.9,RAPTOR Only
Aspergillus lentulus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,293939,GCA_010724455.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF36540.1,0,1539.4,0.9,0,1539.1,0.9,RAPTOR Only
Aspergillus lentulus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,293939,GCA_010724575.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF64315.1,0,1539.4,0.8,0,1539.1,0.8,RAPTOR Only
Aspergillus lentulus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,293939,GCA_010724635.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF98942.1,0,1539.4,0.9,0,1539.1,0.9,RAPTOR Only
Aspergillus udagawae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,91492,GCA_010724795.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFG23650.1,0,1536.5,0.9,0,1536.2,0.9,RAPTOR Only
Aspergillus lentulus,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,293939,GCA_010724915.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,GFF71456.1,0,1539.4,0.9,0,1539.1,0.9,RAPTOR Only
Massariosphaeria phaeospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Massariosphaeria,100035,GCA_011032825.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF2867131.1,0,1516.1,0,0,1515.6,0,RAPTOR Only
Didymella keratinophila,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,2301244,GCA_011058865.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3051667.1,0,1505.9,1,0,1505.5,1,RAPTOR Only
Neopestalotiopsis sp. 37M,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,2572875,GCA_011058875.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3014246.1,0,1492.9,0,0,1492.9,0,RAPTOR Only
Penicillium rubens,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,1108849,GCA_011058885.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3022829.1,0,1497.6,0,0,1497.3,0,RAPTOR Only
Didymella heteroderae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,1769908,GCA_011058895.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3040354.1,0,1424,0.3,0,1380.4,0,RAPTOR Only
Curvularia kusanoi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,90978,GCA_011058905.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3004131.1,0,1497.1,0.7,0,1496.5,0.7,RAPTOR Only
Trichoderma lentiforme,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,1567552,GCA_011066345.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3071409.1,0,1510.7,0.4,0,1510.7,0.4,RAPTOR Only
Verticillium dahliae VDG1,NA,NA,NA,NA,NA,NA,NA,NA,1027910,GCA_011066465.2,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3354790.1,0,1507.7,2,0,1507.7,2,RAPTOR Only
Verticillium dahliae VDG2,NA,NA,NA,NA,NA,NA,NA,NA,1007914,GCA_011066485.2,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3350233.1,0,1507.7,2,0,1507.7,2,RAPTOR Only
Orbilia oligospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,2813651,GCA_011066565.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3134577.1,0,1532.7,0,0,1532,0,RAPTOR Only
Orbilia oligospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,2813651,GCA_011066575.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3084320.1,0,1532.7,0,0,1532,0,RAPTOR Only
Orbilia oligospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,2813651,GCA_011066585.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3099380.1,0,1532.7,0,0,1532,0,RAPTOR Only
Orbilia oligospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,2813651,GCA_011066595.1,PTHR12848.orig.30.pir,NA,NA,NA,NA,NA,NA,NA,KAF3139191.1,0,1493,0,0,1492.4,0,RAPTOR Only
